month_year,AD,AE,AF,AG,AI,AL,AM,AN,AO,AQ,AR,AS,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BM,BN,BO,BQ,BR,BS,BT,BV,BW,BY,BZ,CA,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CU,CV,CW,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GG,GH,GI,GL,GM,GN,GQ,GR,GS,GT,GU,GW,GY,HK,HM,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IR,IS,IT,JE,JM,JO,JP,KE,KG,KH,KI,KM,KN,KP,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MG,MH,MK,ML,MM,MN,MO,MP,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PN,PR,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SO,SR,SS,ST,SV,SX,SY,SZ,TC,TD,TF,TG,TH,TJ,TK,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UM,US,UY,UZ,VA,VC,VE,VG,VI,VN,VU,WF,WS,XK,YE,YT,ZA,ZM,ZW
2020-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,209.0,1.0,1.0,0.0,2.0,0.0,0.0,6.0,361.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,0.0,113.0,2.0,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,149.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,55.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,137.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,12.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0
2020-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2554.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,54.0,0.0,29.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03,13.0,8.0,4.0,0.0,0.0,15.0,4.0,,0.0,,29.0,0.0,174.0,19.0,0.0,5.0,13.0,0.0,6.0,1652.0,14.0,10.0,4.0,0.0,0.0,0.0,1.0,7.0,,201.0,0.0,0.0,,0.0,2.0,0.0,67.0,,0.0,0.0,1.0,482.0,0.0,0.0,12.0,5.0,423.0,34.0,2.0,6.0,0.0,1.0,,9.0,35.0,3059.0,0.0,110.0,0.0,57.0,28.0,93.0,5.0,52.0,,0.0,10388.0,0.0,62.0,0.0,0.0,0.0,0.0,3522.0,0.0,4434.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,,1.0,3.0,0.0,2.0,2.0,,10.0,6.0,0.0,21.0,136.0,129.0,29.0,0.0,50.0,,52.0,3106.0,2.0,12399.0,2.0,1.0,5.0,54.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,1.0,3.0,0.0,16.0,0.0,0.0,3.0,0.0,0.0,6.0,26.0,0.0,0.0,39.0,0.0,5.0,2.0,0.0,0.0,11.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,92.0,48.0,0.0,,0.0,2.0,,1.0,1.0,1152.0,28.0,0.0,0.0,0.0,1.0,1.0,30.0,175.0,0.0,0.0,413.0,31.0,43.0,0.0,11.0,1.0,160.0,0.0,3.0,2.0,0.0,82.0,13.0,24.0,0.0,21.0,0.0,0.0,2.0,332.0,3.0,0.0,15.0,,1.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,,1.0,10.0,0.0,0.0,0.0,0.0,12.0,0.0,214.0,5.0,0.0,4.0,0.0,17.0,0.0,,3205.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0
2020-04,30.0,103.0,68.0,3.0,0.0,16.0,29.0,,0.0,,238.0,0.0,475.0,74.0,2.0,19.0,57.0,7.0,169.0,6340.0,27.0,59.0,4.0,0.0,0.0,6.0,0.0,55.0,,5700.0,11.0,0.0,,0.0,91.0,2.0,3037.0,,11.0,0.0,7.0,1123.0,14.0,0.0,215.0,51.0,1329.0,342.0,4.0,58.0,0.0,0.0,,6.0,207.0,5409.0,2.0,353.0,0.0,256.0,392.0,970.0,47.0,354.0,,0.0,15733.0,1.0,200.0,0.0,0.0,0.0,0.0,11721.0,3.0,24107.0,0.0,8.0,1.0,15.0,0.0,0.0,0.0,0.0,6.0,3.0,90.0,,15.0,2.0,1.0,7.0,0.0,,65.0,69.0,8.0,314.0,656.0,1160.0,201.0,27.0,1168.0,,42.0,2931.0,8.0,15539.0,20.0,7.0,3.0,398.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,81.0,30.0,0.0,22.0,0.0,8.0,0.0,1.0,4.0,19.0,0.0,27.0,66.0,17.0,3.0,132.0,1.0,117.0,5.0,0.0,0.0,70.0,23.0,5.0,0.0,0.0,2.0,11.0,0.0,1.0,4.0,5.0,1.0,2.0,4617.0,55.0,0.0,,0.0,1.0,,66.0,3.0,3713.0,176.0,0.0,0.0,0.0,18.0,10.0,158.0,5084.0,0.0,0.0,605.0,358.0,608.0,0.0,83.0,1.0,829.0,0.0,7.0,10.0,0.0,635.0,172.0,1145.0,0.0,148.0,0.0,0.0,34.0,2574.0,13.0,0.0,78.0,,23.0,7.0,13.0,0.0,28.0,1.0,0.0,0.0,9.0,13.0,1.0,0.0,1.0,8.0,,7.0,44.0,0.0,0.0,0.0,0.0,29.0,0.0,2960.0,3.0,0.0,1.0,17.0,244.0,0.0,,43552.0,15.0,7.0,0.0,0.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,16.0,2.0,2.0,111.0,2.0,2.0
2020-05,8.0,155.0,202.0,0.0,0.0,2.0,125.0,,1.0,,417.0,0.0,96.0,10.0,1.0,39.0,84.0,0.0,534.0,1482.0,9.0,82.0,11.0,0.0,1.0,3.0,1.0,251.0,,23413.0,0.0,0.0,,0.0,147.0,0.0,4645.0,,40.0,3.0,10.0,119.0,18.0,0.0,827.0,140.0,2.0,944.0,4.0,19.0,2.0,0.0,,2.0,76.0,656.0,22.0,114.0,0.0,189.0,208.0,2331.0,11.0,599.0,,0.0,3051.0,5.0,43.0,0.0,0.0,0.0,0.0,3231.0,14.0,9690.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,39.0,,92.0,0.0,6.0,3.0,0.0,,137.0,28.0,36.0,197.0,821.0,363.0,62.0,7.0,4380.0,,121.0,1787.0,0.0,5448.0,7.0,1.0,1.0,442.0,49.0,9.0,0.0,0.0,1.0,0.0,0.0,22.0,190.0,0.0,16.0,0.0,3.0,0.0,0.0,4.0,11.0,0.0,22.0,18.0,8.0,2.0,34.0,0.0,187.0,2.0,5.0,0.0,59.0,52.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,5.0,0.0,6.0,1.0,16132.0,12.0,1.0,,0.0,31.0,,229.0,31.0,1064.0,32.0,8.0,0.0,0.0,3.0,39.0,148.0,16105.0,0.0,0.0,414.0,1134.0,423.0,0.0,42.0,3.0,421.0,0.0,1.0,28.0,1.0,549.0,59.0,3686.0,0.0,356.0,0.0,0.0,262.0,1746.0,8.0,0.0,16.0,,4.0,38.0,1.0,0.0,51.0,0.0,9.0,9.0,36.0,2.0,2.0,2.0,0.0,48.0,,4.0,3.0,47.0,0.0,0.0,0.0,7.0,0.0,1366.0,0.0,0.0,1.0,3.0,447.0,0.0,,38166.0,5.0,6.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,82.0,20.0,704.0,4.0,0.0
2020-06,1.0,50.0,537.0,0.0,0.0,32.0,301.0,,11.0,,1383.0,0.0,66.0,1.0,0.0,150.0,34.0,0.0,1217.0,263.0,0.0,81.0,73.0,0.0,18.0,0.0,1.0,810.0,,30280.0,0.0,0.0,,0.0,158.0,0.0,897.0,,103.0,44.0,23.0,9.0,35.0,0.0,4634.0,126.0,3.0,3376.0,6.0,3.0,11.0,0.0,,2.0,29.0,145.0,31.0,29.0,0.0,252.0,250.0,1182.0,0.0,2029.0,,0.0,591.0,97.0,4.0,0.0,0.0,0.0,0.0,871.0,22.0,2524.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,29.0,13.0,,665.0,0.0,16.0,0.0,3.0,,285.0,5.0,61.0,54.0,1263.0,67.0,40.0,0.0,12236.0,,1835.0,3080.0,0.0,1352.0,2.0,1.0,0.0,81.0,80.0,49.0,0.0,0.0,5.0,0.0,0.0,10.0,138.0,0.0,157.0,0.0,7.0,0.0,0.0,0.0,9.0,0.0,7.0,0.0,5.0,20.0,23.0,0.0,244.0,4.0,16.0,0.0,166.0,38.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,1.0,12.0,20584.0,6.0,4.0,,0.0,2.0,,304.0,48.0,160.0,14.0,25.0,0.0,0.0,0.0,135.0,295.0,17288.0,0.0,0.0,863.0,2823.0,403.0,0.0,17.0,6.0,166.0,0.0,8.0,75.0,1.0,385.0,37.0,4681.0,2.0,1173.0,0.0,0.0,304.0,854.0,2.0,0.0,0.0,,0.0,14.0,0.0,0.0,11.0,12.0,25.0,0.0,136.0,0.0,4.0,8.0,1.0,8.0,,1.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,591.0,0.0,0.0,0.0,0.0,451.0,0.0,,19826.0,5.0,11.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,234.0,11.0,4415.0,23.0,3.0
2020-07,0.0,35.0,476.0,0.0,0.0,96.0,295.0,,39.0,,4480.0,0.0,45.0,93.0,0.0,235.0,151.0,0.0,1228.0,79.0,0.0,153.0,55.0,0.0,17.0,0.0,0.0,1854.0,,32881.0,3.0,0.0,,1.0,165.0,0.0,253.0,,38.0,11.0,14.0,17.0,34.0,0.0,3769.0,61.0,24.0,8265.0,134.0,1.0,9.0,0.0,,0.0,35.0,139.0,3.0,15.0,0.0,416.0,303.0,1160.0,0.0,1800.0,,0.0,186.0,173.0,3.0,1.0,0.0,0.0,0.0,404.0,8.0,639.0,0.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,13.0,42.0,14.0,,1184.0,0.0,3.0,8.0,66.0,,840.0,37.0,56.0,11.0,2255.0,17.0,247.0,0.0,19530.0,,2755.0,6024.0,0.0,374.0,0.0,0.0,2.0,37.0,215.0,898.0,0.0,0.0,0.0,0.0,0.0,19.0,95.0,0.0,625.0,0.0,27.0,0.0,0.0,0.0,43.0,13.0,1.0,6.0,2.0,55.0,139.0,0.0,241.0,36.0,85.0,0.0,187.0,8.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0,0.0,10.0,106.0,23732.0,4.0,6.0,,0.0,2.0,,280.0,33.0,57.0,5.0,28.0,0.0,0.0,0.0,236.0,790.0,18302.0,0.0,2.0,1700.0,1644.0,244.0,0.0,72.0,75.0,158.0,0.0,30.0,59.0,2.0,692.0,301.0,4522.0,2.0,1189.0,0.0,0.0,150.0,246.0,1.0,0.0,8.0,,1.0,7.0,0.0,72.0,3.0,13.0,8.0,2.0,277.0,0.0,34.0,31.0,0.0,1.0,,5.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,560.0,0.0,0.0,0.0,0.0,534.0,3.0,,30172.0,8.0,123.0,0.0,0.0,113.0,0.0,2.0,3.0,0.0,0.0,0.0,176.0,177.0,4.0,5404.0,134.0,62.0
2020-08,1.0,33.0,126.0,0.0,0.0,129.0,130.0,,55.0,,7234.0,0.0,49.0,455.0,7.0,86.0,281.0,0.0,1197.0,198.0,2.0,257.0,43.0,0.0,2.0,0.0,0.0,2050.0,,28906.0,30.0,0.0,,4.0,123.0,11.0,203.0,,44.0,3.0,13.0,21.0,15.0,0.0,1832.0,26.0,61.0,9726.0,286.0,8.0,16.0,0.0,,2.0,45.0,122.0,2.0,10.0,0.0,568.0,305.0,835.0,1.0,606.0,,0.0,1142.0,530.0,4.0,1.0,0.0,0.0,0.0,378.0,3.0,302.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,65.0,,821.0,8.0,11.0,19.0,32.0,,536.0,42.0,40.0,19.0,2286.0,7.0,397.0,0.0,28969.0,,2318.0,4690.0,0.0,342.0,1.0,11.0,4.0,285.0,213.0,96.0,0.0,0.0,0.0,0.0,0.0,25.0,81.0,0.0,1055.0,0.0,110.0,0.0,0.0,1.0,5.0,17.0,6.0,8.0,2.0,170.0,817.0,0.0,219.0,51.0,88.0,0.0,111.0,2.0,0.0,0.0,,0.0,1.0,2.0,0.0,4.0,0.0,11.0,53.0,18932.0,2.0,11.0,,0.0,0.0,,140.0,25.0,80.0,9.0,220.0,0.0,0.0,0.0,268.0,581.0,17479.0,0.0,3.0,2132.0,322.0,337.0,0.0,210.0,94.0,89.0,0.0,277.0,24.0,1.0,1271.0,133.0,3241.0,11.0,1042.0,0.0,0.0,71.0,70.0,0.0,0.0,14.0,,4.0,4.0,0.0,78.0,4.0,45.0,1.0,0.0,265.0,2.0,73.0,52.0,2.0,2.0,,9.0,0.0,9.0,0.0,0.0,0.0,30.0,0.0,679.0,17.0,0.0,0.0,0.0,864.0,34.0,,30408.0,9.0,177.0,0.0,0.0,222.0,0.0,7.0,31.0,0.0,0.0,0.0,298.0,76.0,1.0,6110.0,125.0,132.0
2020-09,0.0,37.0,49.0,0.0,0.0,98.0,82.0,,71.0,,10261.0,0.0,97.0,234.0,17.0,57.0,241.0,0.0,954.0,147.0,4.0,190.0,64.0,0.0,1.0,0.0,0.0,2938.0,,22571.0,52.0,0.0,,10.0,153.0,14.0,154.0,,9.0,0.0,20.0,62.0,3.0,0.0,1452.0,5.0,17.0,6555.0,468.0,27.0,21.0,0.0,,1.0,248.0,362.0,1.0,26.0,0.0,370.0,225.0,4862.0,1.0,506.0,,0.0,3256.0,376.0,15.0,0.0,0.0,0.0,0.0,1136.0,1.0,765.0,0.0,24.0,7.0,0.0,2.0,0.0,0.0,2.0,7.0,0.0,122.0,,483.0,36.0,1.0,41.0,4.0,,480.0,97.0,28.0,182.0,3323.0,39.0,682.0,0.0,33440.0,,2108.0,4708.0,0.0,411.0,0.0,90.0,54.0,275.0,141.0,5.0,0.0,0.0,0.0,0.0,0.0,90.0,78.0,0.0,197.0,0.0,203.0,0.0,0.0,1.0,0.0,7.0,9.0,1.0,4.0,320.0,1045.0,1.0,332.0,69.0,37.0,0.0,139.0,5.0,315.0,0.0,,0.0,5.0,1.0,0.0,24.0,0.0,5.0,4.0,12826.0,9.0,39.0,,0.0,0.0,,89.0,10.0,194.0,10.0,354.0,0.0,0.0,3.0,246.0,370.0,8294.0,7.0,2.0,1871.0,184.0,485.0,0.0,230.0,196.0,153.0,0.0,531.0,16.0,11.0,1204.0,35.0,3592.0,13.0,865.0,0.0,0.0,13.0,53.0,0.0,0.0,19.0,,21.0,1.0,0.0,25.0,2.0,33.0,3.0,0.0,124.0,5.0,86.0,18.0,2.0,8.0,,20.0,1.0,8.0,0.0,0.0,0.0,195.0,0.0,1825.0,51.0,0.0,0.0,0.0,1572.0,53.0,,21709.0,4.0,149.0,0.0,0.0,242.0,0.0,5.0,1.0,0.0,0.0,0.0,100.0,17.0,2.0,2603.0,43.0,24.0
2020-10,22.0,75.0,74.0,0.0,0.0,130.0,425.0,,109.0,,11035.0,0.0,520.0,21.0,10.0,139.0,387.0,0.0,661.0,2004.0,8.0,466.0,67.0,0.0,0.0,0.0,0.0,760.0,,15932.0,50.0,0.0,,9.0,146.0,32.0,948.0,,36.0,0.0,3.0,486.0,6.0,0.0,1466.0,9.0,0.0,6317.0,481.0,6.0,34.0,0.0,,4.0,2929.0,3386.0,0.0,73.0,0.0,141.0,232.0,1251.0,8.0,332.0,,0.0,5353.0,273.0,19.0,0.0,0.0,0.0,0.0,3873.0,1.0,5255.0,0.0,299.0,3.0,0.0,17.0,0.0,0.0,4.0,7.0,0.0,242.0,,477.0,30.0,2.0,44.0,1.0,,319.0,278.0,3.0,1091.0,3129.0,132.0,930.0,0.0,22834.0,,1735.0,8918.0,2.0,2724.0,0.0,98.0,797.0,195.0,295.0,90.0,0.0,0.0,0.0,0.0,0.0,52.0,170.0,0.0,184.0,0.0,269.0,0.0,2.0,8.0,0.0,6.0,81.0,36.0,39.0,301.0,1533.0,0.0,481.0,132.0,12.0,0.0,261.0,5.0,937.0,0.0,,0.0,10.0,0.0,0.0,27.0,0.0,4.0,5.0,12802.0,127.0,31.0,,0.0,0.0,,34.0,5.0,1007.0,8.0,827.0,0.0,0.0,0.0,311.0,328.0,4344.0,22.0,0.0,1442.0,336.0,3240.0,0.0,167.0,185.0,571.0,0.0,547.0,18.0,6.0,2045.0,76.0,7344.0,6.0,626.0,0.0,0.0,1.0,151.0,1.0,0.0,212.0,,165.0,2.0,0.0,13.0,5.0,7.0,9.0,1.0,131.0,0.0,90.0,5.0,0.0,12.0,,9.0,0.0,5.0,0.0,0.0,0.0,1105.0,0.0,2057.0,32.0,0.0,0.0,0.0,3067.0,50.0,,23821.0,10.0,96.0,0.0,0.0,170.0,0.0,1.0,0.0,0.0,0.0,0.0,56.0,13.0,2.0,1082.0,15.0,15.0
