,date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
982706,2020-01-01,GB,0.0,0.0,,,0.0,0.0,,
982707,2020-01-02,GB,0.0,0.0,,,0.0,0.0,,
982708,2020-01-03,GB,0.0,0.0,,,0.0,0.0,,
982709,2020-01-04,GB,0.0,0.0,,,0.0,0.0,,
982710,2020-01-05,GB,0.0,0.0,,,0.0,0.0,,
982711,2020-01-06,GB,0.0,0.0,,,0.0,0.0,,
982712,2020-01-07,GB,0.0,0.0,,,0.0,0.0,,
982713,2020-01-08,GB,0.0,0.0,,,0.0,0.0,,
982714,2020-01-09,GB,0.0,0.0,,,0.0,0.0,,
982715,2020-01-10,GB,0.0,0.0,,,0.0,0.0,,
982716,2020-01-11,GB,0.0,0.0,,,0.0,0.0,,
982717,2020-01-12,GB,0.0,0.0,,,0.0,0.0,,
982718,2020-01-13,GB,0.0,0.0,,,0.0,0.0,,
982719,2020-01-14,GB,0.0,0.0,,,0.0,0.0,,
982720,2020-01-15,GB,0.0,0.0,,,0.0,0.0,,
982721,2020-01-16,GB,0.0,0.0,,,0.0,0.0,,
982722,2020-01-17,GB,0.0,0.0,,,0.0,0.0,,
982723,2020-01-18,GB,0.0,0.0,,,0.0,0.0,,
982724,2020-01-19,GB,0.0,0.0,,,0.0,0.0,,
982725,2020-01-20,GB,0.0,0.0,,,0.0,0.0,,
982726,2020-01-21,GB,0.0,0.0,,,0.0,0.0,,
982727,2020-01-22,GB,0.0,0.0,,,0.0,0.0,,
982728,2020-01-23,GB,0.0,0.0,,,0.0,0.0,,
982729,2020-01-24,GB,0.0,0.0,,,0.0,0.0,,
982730,2020-01-25,GB,0.0,0.0,,,0.0,0.0,,
982731,2020-01-26,GB,0.0,0.0,,,0.0,0.0,,
982732,2020-01-27,GB,0.0,0.0,,,0.0,0.0,,
982733,2020-01-28,GB,0.0,0.0,,,0.0,0.0,,
982734,2020-01-29,GB,0.0,0.0,,,0.0,0.0,,
982735,2020-01-30,GB,1.0,0.0,,,1.0,0.0,,0.0
982736,2020-01-31,GB,0.0,0.0,,,1.0,0.0,,0.0
982737,2020-02-01,GB,0.0,0.0,,,1.0,0.0,,0.0
982738,2020-02-02,GB,1.0,0.0,,,2.0,0.0,,0.0
982739,2020-02-03,GB,18.0,0.0,,,20.0,0.0,,0.0
982740,2020-02-04,GB,0.0,0.0,,,20.0,0.0,,0.0
982741,2020-02-05,GB,1.0,0.0,,,21.0,0.0,,0.0
982742,2020-02-06,GB,0.0,0.0,,,21.0,0.0,,0.0
982743,2020-02-07,GB,0.0,0.0,,,21.0,0.0,,0.0
982744,2020-02-08,GB,3.0,0.0,,,24.0,0.0,,0.0
