,search_trends_fever,search_trends_low_grade_fever,search_trends_chills,search_trends_cough,search_trends_shallow_breathing,search_trends_shortness_of_breath,search_trends_fatigue,search_trends_muscle_weakness,search_trends_cluster_headache,search_trends_headache,search_trends_sore_throat,search_trends_nasal_congestion,search_trends_nausea,search_trends_vomiting,search_trends_diarrhea,date,location_key
8874,4.07,0.11,0.32,9.27,0.05,1.03,6.26,0.16,0.22,5.37,3.28,2.48,2.37,4.85,5.24,2020-01-01,GB
8875,3.94,0.06,0.31,10.01,0.05,1.12,6.96,0.18,0.28,4.86,3.57,2.35,2.26,4.3,5.41,2020-01-02,GB
8876,3.8,0.06,0.31,9.77,0.09,1.02,6.77,0.18,0.24,4.59,3.32,2.5,2.22,3.96,5.16,2020-01-03,GB
8877,3.93,0.07,0.27,9.63,0.07,1.06,6.6,0.21,0.29,4.94,3.17,2.41,2.27,3.86,4.99,2020-01-04,GB
8878,3.9,0.06,0.25,9.64,0.1,1.15,7.69,0.2,0.23,5.16,3.39,2.27,2.4,4.09,5.16,2020-01-05,GB
8879,3.9,0.06,0.29,9.19,0.05,1.05,7.27,0.2,0.24,4.95,3.29,2.23,2.22,4.06,5.01,2020-01-06,GB
8880,3.74,0.1,0.25,8.6,0.06,1.05,7.47,0.25,0.32,5.2,2.95,2.21,2.12,3.91,4.89,2020-01-07,GB
8881,3.83,0.07,0.22,8.48,0.08,1.03,7.16,0.22,0.28,4.92,2.96,2.02,2.11,3.58,4.72,2020-01-08,GB
8882,3.62,0.04,0.26,8.15,0.06,1.01,7.05,0.27,0.26,4.59,2.82,1.86,1.88,3.56,4.69,2020-01-09,GB
8883,3.23,0.07,0.28,7.08,0.05,1.0,6.2,0.22,0.23,4.16,2.66,1.81,1.6,2.94,4.49,2020-01-10,GB
8884,3.38,0.05,0.21,7.42,0.09,0.81,6.27,0.27,0.29,4.96,2.7,1.85,1.94,3.45,4.38,2020-01-11,GB
8885,3.54,0.05,0.25,7.36,0.06,0.87,6.81,0.24,0.28,4.82,2.83,1.96,2.14,3.6,4.85,2020-01-12,GB
8886,3.68,0.07,0.18,7.17,0.07,1.12,7.01,0.25,0.23,4.6,2.91,1.75,2.08,3.41,4.65,2020-01-13,GB
8887,3.78,0.07,0.29,6.94,0.06,0.95,7.14,0.29,0.27,4.57,2.8,1.66,1.96,3.39,4.59,2020-01-14,GB
8888,3.69,0.05,0.24,6.82,0.09,0.99,7.07,0.25,0.32,4.74,2.79,1.75,1.92,3.27,4.36,2020-01-15,GB
8889,3.73,0.06,0.27,6.59,0.06,0.92,6.93,0.24,0.26,4.75,2.62,1.69,1.93,3.28,4.46,2020-01-16,GB
8890,3.73,0.06,0.27,6.25,0.06,0.85,6.4,0.2,0.25,4.41,2.54,1.63,1.76,2.94,4.08,2020-01-17,GB
8891,3.24,0.06,0.23,6.49,0.04,0.84,6.01,0.22,0.29,4.45,2.47,1.77,1.87,3.16,4.16,2020-01-18,GB
8892,3.58,0.09,0.25,6.75,0.05,0.86,6.55,0.13,0.34,4.86,2.62,1.84,2.06,3.54,4.54,2020-01-19,GB
8893,3.81,0.07,0.22,6.86,0.07,0.99,6.85,0.26,0.28,4.78,2.71,1.8,1.92,3.69,4.87,2020-01-20,GB
8894,3.75,0.04,0.34,6.88,0.06,1.01,7.29,0.22,0.26,4.64,2.76,1.68,1.99,3.51,4.52,2020-01-21,GB
8895,3.84,0.07,0.23,6.87,0.04,1.05,7.26,0.35,0.36,4.91,2.61,1.56,2.08,3.38,4.68,2020-01-22,GB
8896,4.15,0.05,0.26,6.99,0.05,0.98,6.67,0.64,0.32,4.85,2.9,1.64,1.92,3.53,4.78,2020-01-23,GB
8897,3.96,0.07,0.23,6.78,0.05,0.91,6.08,0.23,0.24,4.42,2.65,1.83,1.73,3.55,4.62,2020-01-24,GB
8898,3.57,0.04,0.23,7.53,0.05,0.85,6.21,0.22,0.23,4.52,2.61,1.92,2.07,3.67,4.53,2020-01-25,GB
8899,4.14,0.04,0.26,7.64,0.08,1.41,6.61,0.15,0.32,5.11,2.93,1.88,2.02,3.97,4.88,2020-01-26,GB
8900,4.43,0.05,0.28,7.07,0.07,1.12,6.79,0.24,0.23,4.83,2.96,1.84,1.96,3.93,4.88,2020-01-27,GB
8901,4.2,0.07,0.29,7.12,0.1,1.03,6.55,0.22,0.33,4.7,2.8,1.77,1.97,3.98,5.01,2020-01-28,GB
8902,4.14,0.05,0.33,7.41,0.06,1.01,6.75,0.22,0.26,4.61,3.05,1.94,1.92,3.66,4.82,2020-01-29,GB
8903,4.36,0.05,0.27,8.11,0.05,1.0,6.96,0.24,0.25,4.75,3.0,1.9,1.96,4.11,4.94,2020-01-30,GB
8904,4.4,0.07,0.26,7.58,0.07,1.04,6.16,0.2,0.21,4.5,2.87,1.75,1.91,3.96,4.86,2020-01-31,GB
8905,4.28,0.09,0.29,7.62,0.07,0.94,6.04,0.2,0.29,4.45,2.96,1.82,1.96,3.73,4.25,2020-02-01,GB
8906,4.55,0.06,0.3,7.51,0.07,1.06,6.62,0.25,0.24,4.72,3.05,2.0,2.17,4.03,4.96,2020-02-02,GB
8907,4.4,0.06,0.29,7.55,0.08,1.02,6.87,0.18,0.31,4.65,3.12,1.85,2.17,3.78,4.81,2020-02-03,GB
8908,4.19,0.05,0.33,7.36,0.05,1.06,7.08,0.26,0.25,4.67,3.2,1.85,2.1,3.61,4.72,2020-02-04,GB
8909,4.25,0.09,0.25,7.3,0.04,0.99,7.07,0.21,0.27,4.68,3.16,1.88,2.04,3.47,4.58,2020-02-05,GB
8910,4.18,0.08,0.23,7.15,0.09,0.99,6.73,0.21,0.28,4.76,3.02,1.83,2.05,3.44,4.34,2020-02-06,GB
8911,3.9,0.06,0.27,6.72,0.04,0.92,6.03,0.16,0.22,4.21,2.6,1.74,1.74,3.13,4.14,2020-02-07,GB
8912,3.87,0.06,0.21,7.1,0.1,0.84,5.91,0.23,0.29,4.77,2.89,1.85,2.11,3.35,4.34,2020-02-08,GB
8913,4.28,0.09,0.25,6.84,0.04,0.97,5.78,0.22,0.21,4.63,2.81,1.78,2.09,3.65,4.4,2020-02-09,GB
8914,4.25,0.06,0.24,7.29,0.07,1.02,6.42,0.25,0.27,4.46,3.06,1.74,1.98,3.57,4.65,2020-02-10,GB
8915,4.39,0.07,0.28,7.11,0.05,0.94,6.4,0.23,0.27,4.19,3.19,1.72,1.87,3.44,4.75,2020-02-11,GB
8916,4.68,0.07,0.3,7.07,0.04,0.98,6.86,0.27,0.29,4.55,2.94,1.61,1.97,3.36,4.54,2020-02-12,GB
8917,4.29,0.07,0.28,7.58,0.1,1.06,7.11,0.24,0.29,4.45,3.07,1.89,1.83,3.21,4.54,2020-02-13,GB
8918,3.95,0.07,0.19,6.4,0.06,0.86,5.77,0.23,0.21,4.16,2.89,1.57,1.74,3.23,4.3,2020-02-14,GB
8919,4.88,0.06,0.23,7.08,0.04,0.84,5.59,0.2,0.23,4.63,2.7,1.77,1.86,3.52,4.17,2020-02-15,GB
8920,6.72,0.09,0.27,12.81,0.06,1.02,6.29,0.21,0.25,4.72,2.9,1.66,1.98,3.46,4.45,2020-02-16,GB
8921,5.28,0.07,0.25,8.91,0.06,1.0,6.79,0.25,0.28,4.61,3.11,1.74,2.05,3.75,4.57,2020-02-17,GB
8922,4.11,0.07,0.22,7.31,0.07,1.09,6.82,0.2,0.28,4.85,2.97,1.91,2.17,3.6,4.46,2020-02-18,GB
8923,3.95,0.07,0.29,6.89,0.19,1.07,7.03,0.2,0.28,4.92,3.08,1.8,2.26,3.51,4.62,2020-02-19,GB
8924,3.98,0.05,0.24,6.56,0.09,0.94,6.95,0.22,0.22,4.91,2.73,1.69,2.14,3.42,4.33,2020-02-20,GB
8925,3.77,0.07,0.21,6.12,0.04,0.86,6.13,0.17,0.26,4.6,2.57,1.68,2.0,3.34,4.46,2020-02-21,GB
8926,3.36,0.07,0.2,6.43,0.05,0.84,5.93,0.2,0.27,4.71,2.73,1.66,2.01,3.32,4.26,2020-02-22,GB
8927,3.74,0.06,0.25,6.4,0.07,1.0,6.52,0.24,0.26,5.08,2.74,1.65,2.18,3.64,4.55,2020-02-23,GB
8928,4.1,0.07,0.29,6.64,0.07,1.01,6.93,0.23,0.29,4.87,3.05,1.68,2.07,3.73,4.64,2020-02-24,GB
8929,4.4,0.07,0.27,7.26,0.06,1.07,7.13,0.28,0.28,4.73,3.05,1.66,2.06,3.53,4.75,2020-02-25,GB
8930,4.88,0.07,0.33,7.73,0.07,1.09,7.11,0.3,0.26,4.83,2.99,1.47,1.88,3.66,4.69,2020-02-26,GB
8931,5.17,0.09,0.27,7.49,0.1,1.1,6.75,0.26,0.25,4.72,2.83,1.57,1.9,3.33,4.51,2020-02-27,GB
8932,5.64,0.06,0.33,7.39,0.06,1.05,5.96,0.25,0.26,4.25,2.81,1.53,1.73,3.27,4.39,2020-02-28,GB
8933,7.3,0.07,0.27,9.1,0.07,1.07,5.76,0.23,0.27,4.57,2.72,1.68,1.87,3.38,4.46,2020-02-29,GB
8934,5.55,0.1,0.33,8.09,0.07,1.15,6.26,0.18,0.18,4.82,3.37,1.6,2.18,3.72,4.72,2020-03-01,GB
8935,6.21,0.07,0.35,8.76,0.06,1.3,7.02,0.19,0.32,4.88,3.78,1.62,2.05,3.62,4.72,2020-03-02,GB
8936,6.24,0.07,0.33,9.18,0.06,1.24,7.68,0.19,0.28,4.88,3.56,1.82,2.0,3.5,4.63,2020-03-03,GB
8937,6.94,0.12,0.35,9.41,0.06,1.36,7.28,0.27,0.29,4.98,3.45,1.67,1.96,3.48,4.82,2020-03-04,GB
8938,6.3,0.08,0.36,8.96,0.07,1.24,7.02,0.16,0.3,4.72,3.35,1.71,1.8,3.46,4.5,2020-03-05,GB
8939,6.19,0.09,0.32,8.06,0.05,1.11,6.06,0.18,0.24,4.29,3.24,1.7,1.71,3.37,4.29,2020-03-06,GB
8940,5.79,0.13,0.39,8.15,0.06,1.02,6.29,0.13,0.24,4.71,3.13,1.84,2.0,3.45,4.42,2020-03-07,GB
8941,6.45,0.12,0.35,8.44,0.07,1.15,6.55,0.19,0.29,4.54,3.1,1.68,1.98,3.53,4.87,2020-03-08,GB
8942,9.4,0.23,0.44,11.02,0.07,1.31,7.13,0.21,0.29,4.89,3.95,1.74,2.48,4.15,5.19,2020-03-09,GB
8943,10.08,0.21,0.5,11.48,0.09,1.6,7.14,0.25,0.32,4.75,4.08,1.65,2.01,3.61,4.9,2020-03-10,GB
8944,9.96,0.27,0.46,11.61,0.08,1.58,6.74,0.23,0.35,4.91,4.11,1.69,1.88,3.44,4.64,2020-03-11,GB
8945,18.72,0.43,0.85,17.14,0.11,1.99,6.86,0.18,0.31,4.95,5.25,1.76,1.73,3.21,4.67,2020-03-12,GB
8946,21.15,0.62,0.96,17.6,0.11,1.95,5.89,0.23,0.3,6.22,5.7,1.89,1.71,3.32,4.38,2020-03-13,GB
8947,22.27,0.65,0.93,17.34,0.13,2.2,5.91,0.17,0.29,5.76,5.68,2.24,1.74,3.43,4.67,2020-03-14,GB
8948,23.58,0.53,0.88,19.55,0.12,2.26,6.01,0.19,0.27,5.64,5.83,2.21,1.82,3.58,4.91,2020-03-15,GB
8949,32.51,0.84,1.25,22.72,0.15,2.77,6.0,0.21,0.28,5.48,6.42,1.88,1.85,3.65,4.61,2020-03-16,GB
8950,35.94,0.9,1.43,24.53,0.18,2.94,5.65,0.22,0.27,5.35,12.35,1.97,1.64,3.2,4.15,2020-03-17,GB
8951,29.11,0.78,0.92,19.77,0.15,2.48,6.2,0.19,0.27,4.69,6.83,2.06,1.79,3.36,4.98,2020-03-18,GB
8952,21.01,0.5,0.8,17.15,0.12,2.04,5.01,0.17,0.24,4.56,5.1,1.78,1.39,2.61,3.83,2020-03-19,GB
8953,17.46,0.4,0.71,15.95,0.14,1.98,4.21,0.17,0.29,3.96,4.7,1.69,1.36,2.4,6.11,2020-03-20,GB
8954,17.78,0.41,0.79,17.89,0.12,2.14,4.94,0.16,0.25,4.81,7.97,2.17,1.59,2.53,3.99,2020-03-21,GB
8955,17.92,0.42,0.75,17.88,0.12,2.38,5.15,0.16,0.24,4.51,6.42,2.06,1.49,2.51,3.66,2020-03-22,GB
8956,16.29,0.38,0.74,15.21,0.12,2.39,4.67,0.2,0.26,4.37,5.38,1.93,1.4,2.27,3.48,2020-03-23,GB
8957,15.12,0.45,0.75,13.66,0.09,2.11,4.68,0.16,0.23,4.25,4.12,1.96,1.47,2.38,3.33,2020-03-24,GB
8958,15.1,0.93,0.66,13.15,0.19,1.99,4.62,0.16,0.29,4.49,4.16,1.94,1.36,2.18,3.52,2020-03-25,GB
8959,12.9,0.37,0.66,12.22,0.15,2.07,4.73,0.12,0.95,5.1,4.03,1.99,1.43,2.32,3.54,2020-03-26,GB
8960,14.45,0.36,0.69,12.45,0.12,2.05,5.06,0.15,0.3,4.43,4.57,2.03,1.5,2.41,3.5,2020-03-27,GB
8961,13.78,0.38,0.73,12.41,0.15,2.19,5.23,0.11,0.34,5.15,3.88,2.17,1.74,2.65,3.69,2020-03-28,GB
8962,11.48,0.28,0.68,11.36,0.06,2.18,5.21,0.12,0.32,4.98,3.63,2.06,3.4,4.14,3.7,2020-03-29,GB
8963,10.51,0.28,0.53,10.38,0.08,1.86,5.08,0.15,0.29,4.85,3.03,1.86,2.7,3.4,3.49,2020-03-30,GB
8964,9.9,0.26,0.46,9.19,0.14,1.86,5.14,0.16,0.33,4.93,2.94,1.8,1.74,2.55,3.41,2020-03-31,GB
