,date,location_key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2144371,2020-02-15,GB,-12.0,-7.0,-35.0,-12.0,-4.0,2.0
2144372,2020-02-16,GB,-7.0,-6.0,-28.0,-7.0,-3.0,1.0
2144373,2020-02-17,GB,10.0,1.0,24.0,-2.0,-14.0,2.0
2144374,2020-02-18,GB,7.0,-1.0,20.0,-3.0,-14.0,2.0
2144375,2020-02-19,GB,6.0,-2.0,8.0,-4.0,-14.0,3.0
2144376,2020-02-20,GB,5.0,-2.0,4.0,-5.0,-14.0,3.0
2144377,2020-02-21,GB,5.0,-1.0,10.0,-3.0,-15.0,3.0
2144378,2020-02-22,GB,-4.0,-2.0,-7.0,-2.0,-2.0,1.0
2144379,2020-02-23,GB,-1.0,-2.0,-5.0,3.0,-1.0,0.0
2144380,2020-02-24,GB,-3.0,-1.0,-9.0,-2.0,-2.0,1.0
2144381,2020-02-25,GB,-1.0,4.0,3.0,1.0,1.0,0.0
2144382,2020-02-26,GB,1.0,0.0,6.0,-1.0,1.0,0.0
2144383,2020-02-27,GB,2.0,1.0,8.0,0.0,0.0,0.0
2144384,2020-02-28,GB,1.0,1.0,-13.0,0.0,-1.0,1.0
2144385,2020-02-29,GB,1.0,1.0,-14.0,-2.0,0.0,0.0
2144386,2020-03-01,GB,7.0,2.0,14.0,5.0,1.0,-1.0
2144387,2020-03-02,GB,4.0,4.0,14.0,0.0,1.0,0.0
2144388,2020-03-03,GB,2.0,3.0,11.0,-1.0,1.0,0.0
2144389,2020-03-04,GB,2.0,3.0,2.0,-2.0,1.0,1.0
2144390,2020-03-05,GB,-1.0,2.0,1.0,-3.0,0.0,1.0
2144391,2020-03-06,GB,5.0,6.0,22.0,1.0,1.0,0.0
2144392,2020-03-07,GB,0.0,2.0,7.0,-1.0,1.0,0.0
2144393,2020-03-08,GB,4.0,2.0,15.0,2.0,1.0,-1.0
2144394,2020-03-09,GB,0.0,4.0,4.0,-3.0,0.0,1.0
2144395,2020-03-10,GB,-2.0,5.0,4.0,-4.0,0.0,1.0
2144396,2020-03-11,GB,0.0,5.0,10.0,-6.0,0.0,1.0
2144397,2020-03-12,GB,-1.0,11.0,5.0,-8.0,-1.0,2.0
2144398,2020-03-13,GB,-2.0,11.0,12.0,-9.0,-4.0,2.0
2144399,2020-03-14,GB,-10.0,7.0,1.0,-15.0,-2.0,2.0
2144400,2020-03-15,GB,-11.0,7.0,-1.0,-16.0,-4.0,2.0
2144401,2020-03-16,GB,-3.0,20.0,29.0,-16.0,-9.0,4.0
2144402,2020-03-17,GB,-15.0,21.0,6.0,-27.0,-16.0,7.0
2144403,2020-03-18,GB,-21.0,22.0,-3.0,-34.0,-23.0,10.0
2144404,2020-03-19,GB,-21.0,24.0,2.0,-37.0,-27.0,11.0
2144405,2020-03-20,GB,-28.0,10.0,6.0,-40.0,-29.0,13.0
2144406,2020-03-21,GB,-50.0,1.0,2.0,-46.0,-25.0,11.0
2144407,2020-03-22,GB,-56.0,-14.0,20.0,-46.0,-30.0,9.0
2144408,2020-03-23,GB,-45.0,-8.0,1.0,-53.0,-45.0,17.0
2144409,2020-03-24,GB,-71.0,-24.0,-14.0,-64.0,-58.0,24.0
2144410,2020-03-25,GB,-73.0,-26.0,-12.0,-68.0,-64.0,26.0
2144411,2020-03-26,GB,-74.0,-28.0,-11.0,-70.0,-66.0,27.0
2144412,2020-03-27,GB,-76.0,-29.0,-26.0,-71.0,-66.0,28.0
2144413,2020-03-28,GB,-83.0,-39.0,-54.0,-74.0,-57.0,20.0
2144414,2020-03-29,GB,-85.0,-46.0,-52.0,-75.0,-55.0,15.0
2144415,2020-03-30,GB,-74.0,-32.0,-33.0,-73.0,-69.0,27.0
2144416,2020-03-31,GB,-74.0,-30.0,-21.0,-72.0,-70.0,27.0
2144417,2020-04-01,GB,-75.0,-32.0,-29.0,-73.0,-69.0,28.0
2144418,2020-04-02,GB,-75.0,-32.0,-24.0,-73.0,-70.0,29.0
2144419,2020-04-03,GB,-76.0,-30.0,-25.0,-72.0,-69.0,29.0
2144420,2020-04-04,GB,-81.0,-36.0,-38.0,-72.0,-57.0,19.0
2144421,2020-04-05,GB,-82.0,-41.0,-29.0,-70.0,-54.0,15.0
2144422,2020-04-06,GB,-73.0,-31.0,-20.0,-72.0,-70.0,27.0
2144423,2020-04-07,GB,-73.0,-29.0,-7.0,-69.0,-70.0,27.0
2144424,2020-04-08,GB,-73.0,-27.0,-14.0,-70.0,-70.0,27.0
2144425,2020-04-09,GB,-71.0,-20.0,-13.0,-70.0,-70.0,27.0
2144426,2020-04-10,GB,-78.0,-33.0,-18.0,-75.0,-80.0,32.0
2144427,2020-04-11,GB,-81.0,-32.0,-37.0,-70.0,-57.0,19.0
2144428,2020-04-12,GB,-89.0,-63.0,-33.0,-71.0,-58.0,16.0
2144429,2020-04-13,GB,-78.0,-41.0,-21.0,-78.0,-83.0,31.0
2144430,2020-04-14,GB,-71.0,-26.0,-10.0,-69.0,-70.0,27.0
2144431,2020-04-15,GB,-72.0,-27.0,-6.0,-69.0,-69.0,27.0
2144432,2020-04-16,GB,-73.0,-27.0,-7.0,-70.0,-69.0,28.0
2144433,2020-04-17,GB,-75.0,-30.0,-33.0,-71.0,-68.0,29.0
2144434,2020-04-18,GB,-81.0,-37.0,-47.0,-71.0,-54.0,19.0
2144435,2020-04-19,GB,-80.0,-40.0,-12.0,-66.0,-49.0,14.0
2144436,2020-04-20,GB,-71.0,-30.0,-2.0,-68.0,-67.0,25.0
2144437,2020-04-21,GB,-72.0,-28.0,2.0,-67.0,-67.0,26.0
2144438,2020-04-22,GB,-72.0,-28.0,1.0,-67.0,-66.0,27.0
2144439,2020-04-23,GB,-72.0,-27.0,6.0,-67.0,-66.0,27.0
2144440,2020-04-24,GB,-73.0,-26.0,-4.0,-66.0,-65.0,27.0
2144441,2020-04-25,GB,-78.0,-32.0,-23.0,-65.0,-51.0,18.0
2144442,2020-04-26,GB,-78.0,-37.0,-10.0,-64.0,-48.0,14.0
2144443,2020-04-27,GB,-69.0,-29.0,-3.0,-66.0,-65.0,25.0
2144444,2020-04-28,GB,-74.0,-33.0,-42.0,-71.0,-66.0,25.0
2144445,2020-04-29,GB,-73.0,-30.0,-31.0,-69.0,-66.0,27.0
2144446,2020-04-30,GB,-74.0,-28.0,-31.0,-69.0,-66.0,27.0
2144447,2020-05-01,GB,-74.0,-27.0,-22.0,-67.0,-64.0,27.0
2144448,2020-05-02,GB,-78.0,-30.0,-18.0,-63.0,-49.0,17.0
2144449,2020-05-03,GB,-79.0,-37.0,-21.0,-64.0,-46.0,14.0
2144450,2020-05-04,GB,-69.0,-27.0,4.0,-64.0,-64.0,24.0
2144451,2020-05-05,GB,-70.0,-25.0,4.0,-64.0,-64.0,25.0
2144452,2020-05-06,GB,-69.0,-22.0,16.0,-62.0,-63.0,25.0
2144453,2020-05-07,GB,-67.0,-15.0,16.0,-62.0,-63.0,25.0
2144454,2020-05-08,GB,-75.0,-28.0,14.0,-68.0,-77.0,30.0
2144455,2020-05-09,GB,-78.0,-29.0,-6.0,-62.0,-48.0,17.0
2144456,2020-05-10,GB,-80.0,-37.0,-38.0,-68.0,-45.0,14.0
2144457,2020-05-11,GB,-67.0,-25.0,-8.0,-64.0,-62.0,24.0
2144458,2020-05-12,GB,-68.0,-23.0,7.0,-62.0,-62.0,24.0
2144459,2020-05-13,GB,-68.0,-23.0,6.0,-62.0,-61.0,25.0
2144460,2020-05-14,GB,-67.0,-21.0,28.0,-61.0,-61.0,23.0
2144461,2020-05-15,GB,-69.0,-21.0,21.0,-60.0,-60.0,24.0
2144462,2020-05-16,GB,-74.0,-25.0,5.0,-58.0,-43.0,15.0
2144463,2020-05-17,GB,-74.0,-29.0,27.0,-55.0,-39.0,12.0
2144464,2020-05-18,GB,-63.0,-20.0,36.0,-59.0,-59.0,22.0
2144465,2020-05-19,GB,-64.0,-18.0,51.0,-57.0,-59.0,22.0
2144466,2020-05-20,GB,-64.0,-16.0,68.0,-56.0,-59.0,22.0
2144467,2020-05-21,GB,-64.0,-16.0,51.0,-58.0,-59.0,23.0
2144468,2020-05-22,GB,-66.0,-18.0,14.0,-59.0,-58.0,24.0
2144469,2020-05-23,GB,-72.0,-23.0,-12.0,-59.0,-41.0,15.0
2144470,2020-05-24,GB,-71.0,-25.0,38.0,-52.0,-36.0,11.0
2144471,2020-05-25,GB,-64.0,-23.0,136.0,-60.0,-77.0,24.0
2144472,2020-05-26,GB,-60.0,-14.0,66.0,-55.0,-59.0,21.0
