,date,key,sni_covid19_vaccination,sni_vaccination_intent,sni_safety_side_effects
14,2021-01-04,GB,67.078,8.562,8.871
3146,2021-01-11,GB,60.296,9.536,8.327
6271,2021-01-18,GB,54.432,8.003,7.847
9392,2021-01-25,GB,60.479,7.677,7.04
12512,2021-02-01,GB,58.335,6.495,7.443
15625,2021-02-08,GB,62.907,8.951,10.301
18742,2021-02-15,GB,75.907,11.199,14.697
21799,2021-02-22,GB,80.997,16.127,12.798
24890,2021-03-01,GB,74.231,19.877,11.435
27997,2021-03-08,GB,71.25,17.606,12.395
31126,2021-03-15,GB,83.856,19.884,16.194
34233,2021-03-22,GB,64.546,14.74,14.037
37349,2021-03-29,GB,52.982,12.873,11.114
40469,2021-04-05,GB,55.095,11.212,12.147
43587,2021-04-12,GB,53.303,16.79,9.579
46679,2021-04-19,GB,43.314,11.486,11.094
49734,2021-04-26,GB,68.422,17.185,26.42
52876,2021-05-03,GB,49.154,12.779,12.93
55873,2021-05-10,GB,62.627,17.427,14.601
58907,2021-05-17,GB,72.665,21.628,15.052
61935,2021-05-24,GB,62.496,16.481,13.287
64899,2021-05-31,GB,71.79,17.066,11.033
67822,2021-06-07,GB,59.093,21.915,11.314
70738,2021-06-14,GB,67.836,25.4,12.857
73624,2021-06-21,GB,71.381,18.751,11.239
76542,2021-06-28,GB,55.455,14.934,9.509
79406,2021-07-05,GB,56.922,15.403,9.068
82363,2021-07-12,GB,59.426,14.805,8.804
85373,2021-07-19,GB,58.471,14.097,8.916
88443,2021-07-26,GB,49.958,11.51,7.163
91574,2021-08-02,GB,64.017,25.813,7.019
94739,2021-08-09,GB,47.514,12.023,6.723
97885,2021-08-16,GB,45.571,12.162,6.511
101032,2021-08-23,GB,39.519,9.614,5.434
104199,2021-08-30,GB,38.984,9.563,5.763
107386,2021-09-06,GB,36.3,8.404,4.821
110522,2021-09-13,GB,36.655,8.943,5.082
113628,2021-09-20,GB,33.469,9.187,4.273
116721,2021-09-27,GB,35.084,8.114,3.553
119798,2021-10-04,GB,35.789,8.548,3.447
122849,2021-10-11,GB,37.836,8.785,3.38
125897,2021-10-18,GB,60.435,13.447,3.927
128937,2021-10-25,GB,48.233,11.2,3.401
131986,2021-11-01,GB,58.471,13.506,3.133
135091,2021-11-08,GB,64.072,12.12,3.567
138201,2021-11-15,GB,73.682,13.46,4.144
141313,2021-11-22,GB,66.272,14.333,3.967
144349,2021-11-29,GB,91.774,21.302,4.711
147455,2021-12-06,GB,113.267,27.523,5.361
150466,2021-12-13,GB,199.342,79.675,8.054
153467,2021-12-20,GB,71.115,17.919,5.715
156471,2021-12-27,GB,49.211,13.811,3.738
159483,2022-01-03,GB,45.856,12.076,3.709
162556,2022-01-10,GB,36.145,7.579,3.105
165659,2022-01-17,GB,72.583,44.698,2.591
168848,2022-01-24,GB,30.637,5.646,2.264
171847,2022-01-31,GB,27.543,4.672,1.885
174672,2022-02-07,GB,24.809,4.627,1.822
177437,2022-02-14,GB,19.628,4.129,1.562
180058,2022-02-21,GB,16.848,4.199,1.371
182567,2022-02-28,GB,17.145,4.032,1.453
185138,2022-03-07,GB,17.612,4.034,1.408
187688,2022-03-14,GB,18.222,4.286,1.254
190150,2022-03-21,GB,25.811,7.116,1.47
192558,2022-03-28,GB,25.285,6.149,1.449
195099,2022-04-04,GB,25.669,6.726,1.528
197581,2022-04-11,GB,20.567,6.142,1.395
199990,2022-04-18,GB,20.901,6.288,1.389
202379,2022-04-25,GB,20.408,6.039,1.331
204728,2022-05-02,GB,20.064,5.447,1.62
207152,2022-05-09,GB,18.718,5.148,1.15
209488,2022-05-16,GB,17.872,4.772,1.031
211831,2022-05-23,GB,15.459,4.031,1.035
214087,2022-05-30,GB,12.974,3.512,0.798
216325,2022-06-06,GB,14.462,3.966,0.898
218643,2022-06-13,GB,14.035,4.195,0.838
220961,2022-06-20,GB,14.758,4.153,0.913
223293,2022-06-27,GB,15.371,4.445,0.928
225599,2022-07-04,GB,15.129,4.489,0.864
227933,2022-07-11,GB,14.945,4.547,0.842
230394,2022-07-18,GB,12.509,3.453,0.753
232833,2022-07-25,GB,11.312,3.102,0.74
235198,2022-08-01,GB,10.25,2.706,0.657
237493,2022-08-08,GB,9.273,2.52,0.563
239732,2022-08-15,GB,11.566,3.034,0.78
241956,2022-08-22,GB,9.614,2.591,0.622
244178,2022-08-29,GB,11.684,3.747,0.577
246480,2022-09-05,GB,15.654,6.541,0.638
