Unnamed: 0,AD,AE,AF,AG,AI,AL,AM,AO,AR,AS,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BM,BN,BO,BR,BS,BT,BW,BY,BZ,CA,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CU,CV,CW,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GG,GH,GI,GL,GM,GN,GQ,GR,GT,GU,GW,GY,HN,HR,HT,HU,ID,IE,IL,IM,IN,IQ,IR,IS,IT,JE,JM,JO,JP,KE,KG,KH,KI,KM,KN,KP,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MG,MH,MK,ML,MM,MN,MP,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NC,NE,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PN,PR,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SH,SI,SK,SL,SM,SN,SO,SR,SS,ST,SV,SX,SY,SZ,TC,TD,TG,TH,TJ,TK,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,US,UY,UZ,VA,VC,VE,VG,VI,VN,VU,WF,WS,XK,YE,YT,ZA,ZM,ZW
AD,0.0,1763.0,7403.0,118.0,133.0,3267.0,8314.0,1671.0,129618.0,103.0,20545.0,14301.0,139.0,9533.0,15785.0,482.0,28895.0,32347.0,220.0,37409.0,1228.0,121.0,108.0,102.0,111.0,21777.0,684655.0,555.0,128.0,2592.0,6680.0,423.0,48009.0,1033.0,72.0,226.0,13257.0,557.0,148.0,60565.0,1601.0,27009.0,165018.0,8705.0,8222.0,239.0,158.0,1025.0,40693.0,147793.0,132.0,6744.0,94.0,3732.0,6236.0,35660.0,2453.0,24528.0,129.0,112410.0,7369.0,5439.0,718.0,154.0,171.0,130.0,130950.0,155.0,188122.0,232.0,16697.0,203.0,133.0,1245.0,157.0,137.0,341.0,326.0,96.0,32273.0,19417.0,294.0,98.0,996.0,10559.0,16550.0,530.0,47159.0,157583.0,7554.0,11386.0,129.0,527899.0,24904.0,143860.0,211.0,175971.0,81.0,3153.0,13820.0,42143.0,5275.0,2630.0,2914.0,141.0,183.0,83.0,154.0,27031.0,2211.0,110.0,18732.0,629.0,10448.0,241.0,84.0,16508.0,230.0,530.0,9084.0,891.0,5775.0,6131.0,16014.0,105.0,11617.0,2498.0,1112.0,169.0,9261.0,494.0,19154.0,1958.0,103.0,936.0,791.0,131.0,564.0,941.0,199.0,2421.0,327719.0,36109.0,1983.0,289.0,222.0,2639.0,135.0,22355.0,3807.0,11688.0,149.0,154.0,2913.0,4263.0,8242.0,216015.0,541.0,486.0,61786.0,29911.0,117449.0,154.0,4826.0,5450.0,24729.0,138.0,19355.0,436.0,761.0,64877.0,16609.0,384822.0,1273.0,9083.0,189.0,142.0,4534.0,19628.0,1558.0,154.0,6949.0,20212.0,98.0,68.0,1620.0,1141.0,1097.0,81.0,84.0,3848.0,77.0,2853.0,1162.0,111.0,92.0,177.0,32438.0,118.0,154.0,150.0,154.0,29006.0,137.0,100564.0,4075.0,154.0,10207.0,762.0,108450.0,3321.0,985518.0,7326.0,1414.0,154.0,102.0,5537.0,79.0,91.0,43079.0,142.0,123.0,146.0,2964.0,1839.0,139.0,101854.0,3671.0,5406.0
AE,1763.0,0.0,5643.0,1763.0,2289.0,1558.0,5109.0,876.0,121840.0,2120.0,16508.0,13954.0,1773.0,5689.0,10505.0,1270.0,22802.0,28176.0,1376.0,30702.0,955.0,2264.0,1901.0,1745.0,1970.0,15909.0,680024.0,1166.0,2232.0,1376.0,2114.0,1083.0,43865.0,1157.0,1562.0,1235.0,9774.0,1024.0,2326.0,55751.0,952.0,26992.0,157043.0,4170.0,6459.0,1540.0,1273.0,1138.0,36425.0,143327.0,1355.0,4924.0,2049.0,1594.0,3481.0,27869.0,1266.0,16745.0,1991.0,107848.0,3843.0,5042.0,922.0,2341.0,2219.0,2170.0,126282.0,1533.0,182508.0,1313.0,11520.0,1482.0,2144.0,1042.0,1284.0,2174.0,1238.0,1099.0,1572.0,28144.0,14160.0,1561.0,1711.0,920.0,5401.0,11944.0,1186.0,43644.0,150592.0,5124.0,7627.0,1979.0,522168.0,18295.0,135408.0,1989.0,171130.0,1906.0,869.0,9152.0,37117.0,2364.0,1604.0,1504.0,2194.0,1159.0,2162.0,2341.0,25390.0,931.0,2228.0,13718.0,904.0,6525.0,1145.0,1788.0,12922.0,1309.0,1328.0,5350.0,1060.0,3024.0,2367.0,11845.0,2083.0,6494.0,1109.0,1100.0,2232.0,4742.0,1003.0,17038.0,1124.0,2174.0,1154.0,1195.0,2295.0,1261.0,745.0,1164.0,1942.0,320008.0,31449.0,1630.0,1348.0,1498.0,1630.0,1501.0,17155.0,3018.0,8837.0,2329.0,2341.0,4634.0,3044.0,3916.0,210543.0,1339.0,1081.0,53900.0,23598.0,112073.0,2341.0,2595.0,2605.0,21365.0,2263.0,14237.0,1037.0,1104.0,56796.0,11545.0,380299.0,707.0,5068.0,1141.0,1722.0,2810.0,15873.0,1091.0,2341.0,4610.0,16296.0,1637.0,1831.0,1371.0,1209.0,861.0,1918.0,2118.0,1743.0,2061.0,1283.0,974.0,2227.0,1669.0,1704.0,31879.0,1554.0,2341.0,1606.0,2341.0,23456.0,2262.0,92453.0,1790.0,2341.0,10330.0,1639.0,99934.0,2658.0,980864.0,5079.0,978.0,2341.0,1742.0,1720.0,1823.0,2028.0,40329.0,2214.0,2245.0,2171.0,1776.0,1109.0,1497.0,93653.0,2918.0,3845.0
AF,7403.0,5643.0,0.0,6946.0,7736.0,5357.0,3897.0,5102.0,98217.0,7449.0,11090.0,15255.0,7169.0,6233.0,9812.0,6323.0,17123.0,20495.0,6606.0,18961.0,5382.0,7726.0,7358.0,6921.0,7349.0,13700.0,651690.0,6169.0,7640.0,4594.0,5444.0,6608.0,36004.0,6435.0,7190.0,6318.0,5352.0,5966.0,7770.0,37671.0,5552.0,29648.0,123815.0,5644.0,3946.0,6815.0,6420.0,6355.0,26139.0,126650.0,6508.0,4294.0,7463.0,4734.0,4296.0,24637.0,5155.0,14401.0,7368.0,91441.0,4088.0,6204.0,5520.0,7783.0,7563.0,7617.0,108319.0,6747.0,167741.0,5949.0,6643.0,6788.0,7659.0,5719.0,6621.0,7590.0,6484.0,6266.0,7168.0,17409.0,10622.0,6764.0,6984.0,5904.0,5962.0,7844.0,6123.0,31472.0,124995.0,4591.0,6207.0,7487.0,483103.0,11884.0,103208.0,6949.0,154950.0,7461.0,5019.0,8738.0,29739.0,3962.0,5278.0,4533.0,7614.0,6395.0,7597.0,7783.0,19880.0,5017.0,7650.0,9764.0,5630.0,4536.0,6253.0,7300.0,9996.0,6299.0,6047.0,5715.0,5821.0,3539.0,5847.0,8776.0,7603.0,5744.0,5308.0,5834.0,7574.0,6846.0,6275.0,11683.0,4677.0,7591.0,5550.0,6255.0,7729.0,6423.0,5178.0,6277.0,4607.0,284678.0,22493.0,4504.0,6155.0,6802.0,5000.0,6827.0,10867.0,5671.0,5258.0,7770.0,7783.0,7855.0,4178.0,6274.0,181502.0,5988.0,6009.0,30682.0,14746.0,94099.0,7783.0,5199.0,4957.0,13063.0,7701.0,8893.0,6063.0,6258.0,36187.0,7753.0,349574.0,5729.0,6200.0,6274.0,7000.0,4178.0,13373.0,5164.0,7783.0,6522.0,11835.0,7322.0,7484.0,4941.0,5589.0,5326.0,7513.0,7559.0,4613.0,7498.0,4739.0,5003.0,7661.0,7128.0,7010.0,23692.0,7209.0,7783.0,6881.0,7783.0,13885.0,7695.0,63084.0,4636.0,7783.0,14441.0,5718.0,76499.0,3666.0,958271.0,3088.0,6297.0,7783.0,7028.0,5211.0,7264.0,7443.0,28778.0,7613.0,7728.0,7536.0,4819.0,5056.0,6768.0,69069.0,3880.0,3193.0
AG,118.0,1763.0,6946.0,0.0,115.0,2935.0,7846.0,1324.0,129212.0,71.0,20140.0,14294.0,64.0,9006.0,15268.0,326.0,28637.0,31918.0,210.0,36835.0,1129.0,119.0,112.0,61.0,125.0,21343.0,684254.0,465.0,100.0,2305.0,6374.0,403.0,47608.0,989.0,117.0,182.0,12867.0,525.0,127.0,60160.0,1480.0,26971.0,164617.0,8156.0,7999.0,193.0,175.0,745.0,40358.0,147361.0,136.0,6460.0,82.0,3724.0,6206.0,35231.0,2138.0,24107.0,87.0,112006.0,6782.0,5146.0,714.0,145.0,89.0,85.0,130547.0,151.0,187707.0,206.0,16182.0,161.0,107.0,1110.0,91.0,89.0,246.0,249.0,170.0,31858.0,18908.0,172.0,75.0,781.0,10174.0,16140.0,471.0,46811.0,157182.0,7185.0,11014.0,102.0,527498.0,24606.0,143473.0,122.0,175582.0,111.0,2650.0,13431.0,41734.0,4899.0,2325.0,2768.0,102.0,142.0,77.0,145.0,26668.0,1963.0,84.0,18289.0,531.0,9930.0,179.0,93.0,16080.0,214.0,508.0,8650.0,743.0,5353.0,5688.0,15558.0,86.0,11179.0,2082.0,1140.0,98.0,8835.0,452.0,18983.0,1762.0,90.0,681.0,708.0,111.0,513.0,770.0,164.0,2287.0,327318.0,35739.0,1730.0,274.0,200.0,2525.0,104.0,21926.0,3541.0,11354.0,127.0,145.0,2887.0,4016.0,7813.0,215614.0,523.0,460.0,61382.0,29641.0,117048.0,145.0,4410.0,4985.0,24308.0,111.0,18813.0,427.0,538.0,64476.0,16207.0,384417.0,1085.0,8650.0,142.0,100.0,4289.0,19255.0,1380.0,145.0,6611.0,19840.0,96.0,118.0,1572.0,1014.0,954.0,80.0,83.0,3414.0,82.0,2438.0,1189.0,116.0,148.0,120.0,32228.0,134.0,145.0,83.0,145.0,28522.0,108.0,100149.0,3761.0,145.0,10100.0,788.0,108045.0,3222.0,985115.0,6941.0,1257.0,145.0,81.0,4993.0,98.0,91.0,42712.0,97.0,116.0,90.0,2681.0,1716.0,105.0,101431.0,3511.0,4863.0
AI,133.0,2289.0,7736.0,115.0,0.0,3535.0,8607.0,1857.0,129729.0,27.0,20656.0,14398.0,174.0,9784.0,16036.0,513.0,29282.0,32514.0,348.0,37574.0,1475.0,11.0,135.0,120.0,114.0,22162.0,684766.0,768.0,16.0,2715.0,7062.0,622.0,48120.0,1377.0,103.0,336.0,13492.0,767.0,7.0,60674.0,1905.0,27131.0,165129.0,8832.0,8475.0,348.0,244.0,1117.0,40858.0,147934.0,173.0,6913.0,48.0,4330.0,6850.0,35815.0,2610.0,24745.0,74.0,112523.0,7517.0,5635.0,848.0,11.0,35.0,22.0,131065.0,271.0,188343.0,219.0,16834.0,352.0,51.0,1402.0,95.0,17.0,329.0,402.0,158.0,32497.0,19520.0,333.0,133.0,1226.0,10942.0,16709.0,793.0,47320.0,157694.0,7784.0,11596.0,89.0,528010.0,25297.0,144025.0,197.0,176134.0,116.0,3221.0,14059.0,42290.0,5623.0,2942.0,3021.0,14.0,155.0,34.0,11.0,27226.0,2510.0,18.0,18992.0,726.0,10593.0,337.0,61.0,16662.0,281.0,656.0,9249.0,1070.0,5907.0,6364.0,16219.0,45.0,11736.0,2731.0,1339.0,26.0,9452.0,683.0,19387.0,2087.0,25.0,968.0,941.0,7.0,741.0,991.0,246.0,2607.0,327830.0,36227.0,2156.0,293.0,272.0,3098.0,166.0,22562.0,3957.0,11941.0,7.0,11.0,2859.0,4577.0,8433.0,216126.0,628.0,622.0,61899.0,30294.0,117560.0,11.0,4957.0,5633.0,24840.0,11.0,19447.0,640.0,811.0,64988.0,16718.0,384929.0,1405.0,9262.0,141.0,129.0,4906.0,19849.0,1570.0,11.0,7143.0,20327.0,124.0,99.0,1917.0,1321.0,1313.0,119.0,63.0,4169.0,74.0,3092.0,1352.0,26.0,187.0,239.0,32477.0,107.0,11.0,120.0,11.0,29191.0,11.0,100785.0,4114.0,11.0,10194.0,822.0,108557.0,3565.0,985633.0,7408.0,1597.0,11.0,92.0,5755.0,56.0,84.0,43096.0,11.0,8.0,26.0,3136.0,2081.0,152.0,102053.0,3941.0,5541.0
AL,3267.0,1558.0,5357.0,2935.0,3535.0,0.0,4549.0,1203.0,120911.0,3387.0,15264.0,13239.0,2964.0,5471.0,10259.0,2473.0,22470.0,26293.0,2634.0,30238.0,1580.0,3511.0,3135.0,2909.0,3163.0,14951.0,678862.0,2107.0,3487.0,1130.0,1375.0,1936.0,42468.0,2194.0,2952.0,2272.0,9706.0,1924.0,3571.0,54523.0,1320.0,27917.0,156036.0,3069.0,6367.0,2823.0,2500.0,2082.0,35859.0,141780.0,2545.0,4509.0,3260.0,1648.0,3230.0,27415.0,1166.0,16689.0,3183.0,106293.0,3881.0,4634.0,1441.0,3584.0,3447.0,3444.0,125082.0,2778.0,181403.0,2019.0,11311.0,2855.0,3393.0,3332.0,2506.0,3442.0,2312.0,2157.0,3307.0,27568.0,11923.0,2850.0,2865.0,1722.0,4280.0,11482.0,2174.0,41794.0,149438.0,4432.0,6784.0,3280.0,521076.0,18282.0,134686.0,2940.0,170244.0,3421.0,1337.0,9224.0,36717.0,1859.0,2673.0,1704.0,3460.0,2334.0,3420.0,3584.0,24986.0,1632.0,3468.0,13331.0,1595.0,6224.0,2216.0,3137.0,12957.0,2212.0,1702.0,4370.0,1718.0,3272.0,2350.0,11306.0,3371.0,5967.0,1154.0,1325.0,3448.0,4288.0,2046.0,16914.0,1298.0,3435.0,1501.0,2161.0,3537.0,2354.0,1211.0,2265.0,2259.0,318676.0,30437.0,2002.0,1958.0,2726.0,1567.0,2776.0,16998.0,2767.0,8305.0,3571.0,3584.0,4515.0,2558.0,3689.0,209195.0,1910.0,2024.0,52811.0,23201.0,109854.0,3584.0,2634.0,2102.0,19363.0,3512.0,13866.0,1981.0,2213.0,56238.0,10956.0,379315.0,1588.0,4850.0,2212.0,3026.0,2812.0,14659.0,1352.0,3584.0,3989.0,15248.0,3017.0,3215.0,1992.0,889.0,1695.0,3106.0,3361.0,2083.0,3318.0,1064.0,1116.0,3476.0,3228.0,2908.0,32001.0,2934.0,3584.0,2774.0,3584.0,23274.0,3510.0,91656.0,1847.0,3584.0,10879.0,2474.0,99065.0,3156.0,979722.0,4637.0,1451.0,3584.0,2875.0,1704.0,3068.0,3276.0,40484.0,3480.0,3505.0,3440.0,1760.0,1771.0,2775.0,92769.0,2691.0,4020.0
AM,8314.0,5109.0,3897.0,7846.0,8607.0,4549.0,0.0,5036.0,110403.0,8385.0,10498.0,13526.0,7880.0,4165.0,6820.0,7041.0,18075.0,20496.0,7331.0,23575.0,4915.0,8583.0,8148.0,7801.0,8154.0,12252.0,665907.0,6368.0,8541.0,4159.0,4487.0,7060.0,35788.0,6853.0,7684.0,6661.0,8256.0,5866.0,8649.0,42181.0,5376.0,28121.0,141640.0,3739.0,6386.0,7663.0,7027.0,6636.0,30400.0,129528.0,7044.0,4028.0,8256.0,3913.0,3119.0,22976.0,5257.0,10318.0,8143.0,93353.0,2944.0,4652.0,5204.0,8662.0,8507.0,8496.0,109870.0,7531.0,168719.0,6092.0,5598.0,7658.0,8474.0,6303.0,7056.0,8484.0,6710.0,6469.0,7751.0,18694.0,7656.0,7685.0,7703.0,6078.0,3461.0,6962.0,6510.0,36618.0,137552.0,4666.0,4372.0,8265.0,502852.0,14535.0,123708.0,7893.0,155720.0,8444.0,4879.0,7805.0,31782.0,3249.0,5319.0,4078.0,8506.0,6745.0,8471.0,8662.0,20406.0,4899.0,8538.0,10361.0,5608.0,5270.0,6677.0,8035.0,11983.0,6494.0,6557.0,3727.0,5939.0,2983.0,3407.0,7674.0,8422.0,3850.0,5325.0,5874.0,8526.0,3888.0,6650.0,14798.0,4431.0,8476.0,5166.0,6556.0,8612.0,7039.0,4881.0,6629.0,4173.0,306679.0,26406.0,4375.0,6052.0,7485.0,4871.0,7582.0,12907.0,5038.0,6787.0,8649.0,8662.0,5128.0,3848.0,3571.0,196127.0,5056.0,6001.0,38741.0,14959.0,101845.0,8662.0,4806.0,3197.0,15571.0,8574.0,10691.0,6039.0,6326.0,44676.0,6821.0,362526.0,4984.0,4666.0,6611.0,7913.0,3156.0,10856.0,5110.0,8662.0,4779.0,11449.0,7826.0,8077.0,4835.0,5088.0,5460.0,8036.0,8422.0,4387.0,8349.0,4473.0,5427.0,8535.0,8145.0,7743.0,26198.0,7618.0,8662.0,7557.0,8662.0,17966.0,8577.0,78318.0,4172.0,8662.0,14403.0,6409.0,88079.0,5475.0,969112.0,4377.0,6084.0,8662.0,7703.0,4743.0,7962.0,8266.0,37456.0,8526.0,8571.0,8465.0,3806.0,5503.0,7525.0,79589.0,3461.0,4174.0
AO,1685.0,876.0,5102.0,1324.0,1857.0,1203.0,5036.0,0.0,122440.0,1489.0,15872.0,13921.0,1336.0,5767.0,10760.0,1137.0,23415.0,27426.0,1114.0,31110.0,665.0,1841.0,1540.0,1299.0,1521.0,16069.0,679832.0,924.0,1742.0,1261.0,1657.0,1006.0,43212.0,1029.0,1231.0,1130.0,9915.0,853.0,1906.0,54889.0,1061.0,26822.0,157817.0,4585.0,6235.0,1216.0,1138.0,1013.0,36840.0,142471.0,1141.0,4999.0,1596.0,1673.0,3303.0,29325.0,1292.0,17385.0,1509.0,107430.0,3998.0,3950.0,911.0,1917.0,1593.0,1721.0,126111.0,1185.0,182199.0,1114.0,11998.0,1219.0,1795.0,1265.0,1067.0,1679.0,1049.0,845.0,1281.0,26918.0,13611.0,1299.0,1248.0,768.0,5394.0,12309.0,882.0,42896.0,151600.0,5138.0,8083.0,1631.0,521854.0,18644.0,136861.0,1330.0,170915.0,1758.0,813.0,9293.0,37191.0,2094.0,1466.0,1510.0,1695.0,1070.0,1722.0,1917.0,25294.0,777.0,1769.0,13726.0,598.0,6934.0,1121.0,1424.0,13084.0,1188.0,1103.0,5424.0,891.0,2675.0,2074.0,12124.0,1710.0,6738.0,867.0,1098.0,1589.0,4592.0,976.0,17210.0,1094.0,1701.0,1052.0,949.0,1837.0,1250.0,641.0,1121.0,1761.0,321646.0,31844.0,1233.0,1133.0,1210.0,2010.0,1211.0,17982.0,2292.0,8881.0,1909.0,1917.0,4347.0,2315.0,4199.0,210496.0,1005.0,643.0,55384.0,23983.0,111474.0,1917.0,2771.0,2971.0,21258.0,1793.0,14707.0,758.0,808.0,58017.0,11981.0,379815.0,641.0,5229.0,1045.0,1324.0,2748.0,15892.0,1116.0,1917.0,4692.0,16471.0,1296.0,1486.0,1011.0,931.0,813.0,1459.0,1685.0,1276.0,1630.0,1105.0,1107.0,1817.0,1417.0,1274.0,30467.0,1194.0,1917.0,1143.0,1917.0,24033.0,1793.0,93826.0,1918.0,1917.0,10274.0,1702.0,100933.0,2635.0,980679.0,5296.0,920.0,1917.0,1214.0,1847.0,1358.0,1608.0,40493.0,1696.0,1836.0,1609.0,1686.0,1176.0,1169.0,93812.0,2602.0,3991.0
AR,129618.0,121840.0,98217.0,129212.0,129729.0,120911.0,110403.0,122440.0,0.0,129478.0,80381.0,98461.0,129270.0,108740.0,99768.0,128273.0,64096.0,73528.0,128820.0,80895.0,122322.0,129717.0,129414.0,129194.0,129369.0,85031.0,403651.0,127076.0,129648.0,117073.0,119624.0,128285.0,77779.0,127369.0,129567.0,128297.0,89120.0,125992.0,129763.0,81263.0,123574.0,64234.0,44887.0,113800.0,89486.0,129055.0,128592.0,126746.0,57151.0,81169.0,128757.0,111732.0,129504.0,118440.0,111643.0,71047.0,122701.0,104468.0,129409.0,62613.0,113702.0,112479.0,123798.0,129776.0,129544.0,129629.0,55163.0,128980.0,92698.0,127565.0,98237.0,128942.0,129650.0,126392.0,128998.0,129611.0,128386.0,127953.0,129488.0,96694.0,104901.0,129070.0,129159.0,126069.0,110317.0,94848.0,127387.0,59423.0,72400.0,106122.0,107397.0,129514.0,312835.0,86980.0,43849.0,129199.0,73543.0,129504.0,121445.0,96906.0,94326.0,115303.0,114132.0,114213.0,129631.0,128718.0,129610.0,129776.0,57947.0,124621.0,129655.0,68606.0,124831.0,101300.0,128120.0,129479.0,63491.0,128180.0,127297.0,114459.0,126630.0,113280.0,117101.0,92021.0,129608.0,107567.0,123988.0,125102.0,129555.0,110736.0,128200.0,61136.0,120044.0,129608.0,122022.0,127422.0,129722.0,128357.0,120999.0,128260.0,119652.0,135802.0,45035.0,118575.0,126817.0,129141.0,124402.0,129445.0,97159.0,115866.0,68842.0,129763.0,129776.0,113563.0,114039.0,107748.0,63954.0,123190.0,126061.0,72532.0,81314.0,38428.0,129776.0,121619.0,117434.0,66188.0,129698.0,73644.0,127084.0,126393.0,70395.0,102542.0,149604.0,121584.0,108913.0,128367.0,129218.0,113514.0,95594.0,121953.0,129776.0,107459.0,86753.0,129609.0,129658.0,121622.0,123472.0,125143.0,129579.0,129579.0,122072.0,129537.0,123226.0,123285.0,129668.0,129559.0,129134.0,53718.0,129593.0,129776.0,129062.0,129776.0,64756.0,129692.0,65876.0,115043.0,129776.0,66807.0,117083.0,39528.0,103458.0,716100.0,101658.0,125416.0,129776.0,129170.0,118714.0,129354.0,129480.0,47847.0,129630.0,129721.0,129555.0,123609.0,123159.0,129178.0,46327.0,110593.0,101190.0
AS,103.0,2120.0,7449.0,71.0,27.0,3387.0,8385.0,1489.0,129478.0,0.0,20405.0,14211.0,125.0,9291.0,15781.0,314.0,29029.0,32239.0,254.0,37291.0,1189.0,29.0,97.0,74.0,77.0,21908.0,684515.0,544.0,28.0,2438.0,6792.0,479.0,47869.0,1197.0,85.0,252.0,13171.0,581.0,30.0,60423.0,1719.0,27076.0,164878.0,8311.0,8273.0,198.0,187.0,734.0,40619.0,147683.0,151.0,6678.0,21.0,4131.0,6788.0,35552.0,2257.0,24464.0,43.0,112272.0,7058.0,5348.0,725.0,34.0,18.0,28.0,130814.0,203.0,188028.0,182.0,16395.0,203.0,57.0,1189.0,71.0,17.0,287.0,280.0,117.0,32182.0,19025.0,216.0,118.0,883.0,10708.0,16458.0,588.0,47069.0,157443.0,7469.0,11303.0,64.0,527759.0,25004.0,143926.0,106.0,176035.0,110.0,2784.0,13670.0,42015.0,5172.0,2538.0,2838.0,21.0,110.0,33.0,34.0,26951.0,2402.0,28.0,18521.0,587.0,10082.0,210.0,41.0,16308.0,239.0,559.0,8926.0,933.0,5444.0,5949.0,15956.0,44.0,11485.0,2305.0,1141.0,17.0,9179.0,493.0,19123.0,1872.0,30.0,736.0,781.0,24.0,517.0,832.0,184.0,2388.0,327579.0,35824.0,1850.0,253.0,233.0,2934.0,72.0,22247.0,3734.0,11537.0,30.0,34.0,2807.0,4227.0,8150.0,215875.0,547.0,484.0,61648.0,30060.0,117309.0,34.0,4706.0,5235.0,24589.0,22.0,18970.0,483.0,518.0,64737.0,16467.0,384678.0,1184.0,8971.0,95.0,84.0,4683.0,19546.0,1326.0,34.0,6846.0,19918.0,93.0,78.0,1790.0,1202.0,1068.0,80.0,64.0,3690.0,55.0,2691.0,1215.0,38.0,197.0,147.0,32214.0,69.0,34.0,75.0,34.0,28870.0,20.0,100470.0,3817.0,34.0,10116.0,756.0,108306.0,3292.0,985382.0,6981.0,1331.0,34.0,64.0,5254.0,38.0,64.0,42853.0,19.0,41.0,20.0,2803.0,1806.0,112.0,101738.0,3619.0,5056.0
